Cell_line	SIDM	Project_Identifier	Tissue_type	Cancer_type	Cancer_subtype
BC-1	SIDM00896	SIDM00896;BC-1	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Primary effusion lymphoma
L-363	SIDM00312	SIDM00312;L-363	Haematopoietic and Lymphoid	Plasma Cell Myeloma	
EoL-1-cell	SIDM00277	SIDM00277;EoL-1-cell	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Chronic Eosinophilic Leukemia
NCI-H727	SIDM01119	SIDM01119;NCI-H727	Lung	Carcinoid Tumour	Lung Carcinoid Tumor
MV-4-11	SIDM00657	SIDM00657;MV-4-11	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Acute Monocytic leukemia
HSC-39	SIDM00045	SIDM00045;HSC-39	Stomach	Gastric Carcinoma	Gastric signet ring cell adenocarcinoma
RPMI-8402	SIDM00403	SIDM00403;RPMI-8402	Haematopoietic and Lymphoid	T-Lymphoblastic Leukemia	Childhood T acute lymphoblastic leukemia
MDA-MB-453	SIDM00272	SIDM00272;MDA-MB-453	Breast	Breast Carcinoma	Breast adenocarcinoma
ES8	SIDM00261	SIDM00261;ES8	Bone	Ewing's Sarcoma	
NKM-1	SIDM00576	SIDM00576;NKM-1	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
KURAMOCHI	SIDM00554	SIDM00554;KURAMOCHI	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
UACC-62	SIDM00107	SIDM00107;UACC-62	Skin	Melanoma	
Ca9-22	SIDM00489	SIDM00489;Ca9-22	Head and Neck	Head and Neck Carcinoma	Gingival squamous cell carcinoma
COLO-684	SIDM00142	SIDM00142;COLO-684	Endometrium	Endometrial Carcinoma	Endometrial adenocarcinoma
SW13	SIDM00814	SIDM00814;SW13	Adrenal Gland	Other Solid Carcinomas	Adrenal cortex carcinoma
SF539	SIDM00083	SIDM00083;SF539	Central Nervous System	Glioblastoma	
MDA-MB-175-VII	SIDM00633	SIDM00633;MDA-MB-175-VII	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
NCI-H524	SIDM01129	SIDM01129;NCI-H524	Lung	Small Cell Lung Carcinoma	
BxPC-3	SIDM00132	SIDM00132;BxPC-3	Pancreas	Pancreatic Carcinoma	Pancreatic ductal adenocarcinoma
NCI-H847	SIDM01149	SIDM01149;NCI-H847	Lung	Small Cell Lung Carcinoma	
Hs-766T	SIDM00664	SIDM00664;Hs-766T	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
MSTO-211H	SIDM00640	SIDM00640;MSTO-211H	Lung	Mesothelioma	Pleural Biphasic Mesothelioma
LC4-1	SIDM00549	SIDM00549;LC4-1	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
PA-TU-8902	SIDM00455	SIDM00455;PA-TU-8902	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
VCaP	SIDM01077	SIDM01077;VCaP	Prostate	Prostate Carcinoma	
DAN-G	SIDM00950	SIDM00950;DAN-G	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
CAL-148	SIDM00938	SIDM00938;CAL-148	Breast	Breast Carcinoma	
DB	SIDM00886	SIDM00886;DB	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Diffuse large B-cell lymphoma
TGW	SIDM00324	SIDM00324;TGW	Peripheral Nervous System	Neuroblastoma	
WSU-NHL	SIDM00412	SIDM00412;WSU-NHL	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Follicular Lymphoma
SK-MEL-2	SIDM00082	SIDM00082;SK-MEL-2	Skin	Melanoma	
COR-L279	SIDM00511	SIDM00511;COR-L279	Lung	Small Cell Lung Carcinoma	
NCI-H1581	SIDM00748	SIDM00748;NCI-H1581	Lung	Non-Small Cell Lung Carcinoma	Lung large cell carcinoma
LAMA-84	SIDM00346	SIDM00346;LAMA-84	Haematopoietic and Lymphoid	Chronic Myelogenous Leukemia	
NCI-H3122	SIDM00137	SIDM00137;NCI-H3122	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
SK-PN-DW	SIDM01097	SIDM01097;SK-PN-DW	Other tissue	Other Solid Carcinomas	Primitive Neuroectodermal Tumor
MDA-MB-468	SIDM00628	SIDM00628;MDA-MB-468	Breast	Breast Carcinoma	Breast adenocarcinoma
RF-48	SIDM01092	SIDM01092;RF-48	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
NAMALWA	SIDM00641	SIDM00641;NAMALWA	Haematopoietic and Lymphoid	Burkitt's Lymphoma	
Caov-4	SIDM00918	SIDM00918;Caov-4	Ovary	Ovarian Carcinoma	High grade ovarian serous adenocarcinoma
MS-1	SIDM00245	SIDM00245;MS-1	Lung	Small Cell Lung Carcinoma	
OCI-AML2	SIDM00446	SIDM00446;OCI-AML2	Haematopoietic and Lymphoid	Acute Myeloid Leukemia	Adult Acute Myeloid Leukemia
WM-115	SIDM01000	SIDM01000;WM-115	Skin	Melanoma	
SW1271	SIDM01156	SIDM01156;SW1271	Lung	Small Cell Lung Carcinoma	
LS-513	SIDM00677	SIDM00677;LS-513	Large Intestine	Colorectal Carcinoma	Cecum adenocarcinoma
Ca-Ski	SIDM00923	SIDM00923;Ca-Ski	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
HSC-2	SIDM00590	SIDM00590;HSC-2	Head and Neck	Head and Neck Carcinoma	Oral Cavity Squamous Cell Carcinoma
RCC-JW	SIDM00817	SIDM00817;RCC-JW	Kidney	Kidney Carcinoma	Clear cell renal cell carcinoma
SNU-423	SIDM01199	SIDM01199;SNU-423	Liver	Hepatocellular Carcinoma	
ZR-75-30	SIDM00971	SIDM00971;ZR-75-30	Breast	Breast Carcinoma	Invasive Ductal Carcinoma of No Special Type
SLVL	SIDM00374	SIDM00374;SLVL	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	Splenic marginal zone lymphoma
SUP-T1	SIDM01154	SIDM01154;SUP-T1	Haematopoietic and Lymphoid	T-Lymphoblastic Lymphoma	Childhood T acute lymphoblastic lymphoma
U-698-M	SIDM00424	SIDM00424;U-698-M	Haematopoietic and Lymphoid	B-Cell Non-Hodgkin's Lymphoma	
RKN	SIDM00353	SIDM00353;RKN	Soft Tissue	Leiomyosarcoma	Ovarian Leiomyosarcoma
WIL2-NS	SIDM01102	SIDM01102;WIL2-NS	Haematopoietic and Lymphoid	Non-Cancerous	Non-Cancerous (B-lymphoblastoid)
HuCCT1	SIDM00587	SIDM00587;HuCCT1	Biliary Tract	Biliary Tract Carcinoma	Intrahepatic Cholangiocarcinoma
NCI-H28	SIDM00720	SIDM00720;NCI-H28	Lung	Mesothelioma	Pleural Sarcomatoid Mesothelioma
NCI-H2087	SIDM00708	SIDM00708;NCI-H2087	Lung	Non-Small Cell Lung Carcinoma	Lung Adenocarcinoma
ONS-76	SIDM00567	SIDM00567;ONS-76	Central Nervous System	Other Solid Carcinomas	Medulloblastoma
SW1783	SIDM01164	SIDM01164;SW1783	Central Nervous System	Glioma	Low Grade Glioma
NB14	SIDM00256	SIDM00256;NB14	Peripheral Nervous System	Neuroblastoma	
NCI-H1435	SIDM00658	SIDM00658;NCI-H1435	Lung	Non-Small Cell Lung Carcinoma	Lung adenocarcinoma
SK-N-AS	SIDM01101	SIDM01101;SK-N-AS	Peripheral Nervous System	Neuroblastoma	
HAL-01	SIDM00289	SIDM00289;HAL-01	Haematopoietic and Lymphoid	B-Lymphoblastic Leukemia	Childhood B acute lymphoblastic leukemia
KP-N-YN	SIDM00556	SIDM00556;KP-N-YN	Peripheral Nervous System	Neuroblastoma	
RMG-I	SIDM00352	SIDM00352;RMG-I	Ovary	Ovarian Carcinoma	Ovarian clear cell adenocarcinoma
NCI-H211	SIDM00704	SIDM00704;NCI-H211	Lung	Small Cell Lung Carcinoma	
PANC-02-03	SIDM01139	SIDM01139;PANC-02-03	Pancreas	Pancreatic Carcinoma	Pancreatic adenocarcinoma
SKG-IIIa	SIDM00381	SIDM00381;SKG-IIIa	Cervix	Cervical Carcinoma	Human Papilloma Virus-Related Cervical Squamous Cell Carcinoma
OV-90	SIDM01141	SIDM01141;OV-90	Ovary	Ovarian Carcinoma	Ovarian adenocarcinoma
KNS-62	SIDM00606	SIDM00606;KNS-62	Lung	Non-Small Cell Lung Carcinoma	Squamous Cell Lung Carcinoma
