clustID,cluster_confidence,uniprotACCs
huMAP3_00000.1,1,P20963 Q9NWV4 Q9UGQ2
huMAP3_00001.1,1,O94887 Q9NQ92 Q9NWB1
huMAP3_00002.1,1,Q8N3D4 Q9Y3A4
huMAP3_00003.1,1,O00429 Q5T2D2
huMAP3_00004.1,1,O95460 P21941 P78540 Q9H267 Q9H9C1
huMAP3_00005.1,1,P01344 P18065
huMAP3_00006.1,1,Q13387 Q14679
huMAP3_00007.1,1,P31273 Q13387 Q14679 Q9UQF2
huMAP3_00008.1,1,O15090 O60315 Q13363 Q8N3X6 Q92618
huMAP3_00009.1,1,P12236 Q16651
huMAP3_00010.1,1,P20823 P35680 P61457 Q9H0N5
huMAP3_00011.1,1,P00519 Q99759
huMAP3_00012.1,1,O60548 Q3SYB3 Q75N90
huMAP3_00013.1,1,Q9BTL3 Q9UPZ9
huMAP3_00014.1,1,A6NER0 O14492 Q6ZSB9 Q86YR5 Q9BRX9 Q9H426 Q9UKY1
huMAP3_00015.1,1,P0CG13 Q8WVB6 Q9BVC3
huMAP3_00016.1,1,Q15120 Q16654
huMAP3_00017.1,1,P57723 Q08752 Q8WV15
huMAP3_00018.1,1,P23284 Q92838
huMAP3_00019.1,1,O43427 Q12767 Q86YS7 Q8TDN4 Q9BTV7
huMAP3_00020.1,1,A6NKD9 A8MZ97 O75864 O95405 P41236 P62136 P62140 Q02833 Q15435 Q15834 Q96KQ4 Q96S65 Q99622 Q9H788 Q9HCD6 Q9UPR0 Q9UQ13
huMAP3_00021.1,1,Q5T7V8 Q9ULU8 Q9Y4F3
huMAP3_00022.1,1,P57055 Q04724 Q04725 Q04726 Q04727 Q05925 Q08117 Q0D2K3 Q5TAB7
huMAP3_00023.1,1,O00273 Q9UJ04
huMAP3_00024.1,1,P08949 Q9H251
huMAP3_00025.1,1,Q8WTX7 Q9UL19
huMAP3_00026.1,1,P22223 Q5VUB5 Q8TAB3 Q96JQ0 Q9HC56 Q9HCL0 Q9P2E7 Q9Y5E7 Q9Y5G3
huMAP3_00027.1,1,P02585 Q8TEA8 Q9BV87
huMAP3_00028.1,1,O60487 P29275
huMAP3_00029.1,1,Q5SGD2 Q5VZ19
huMAP3_00030.1,1,O95208 Q53ET0 Q6UUV7 Q9Y6R0
huMAP3_00031.1,1,Q9BY77 Q9H1N7
huMAP3_00032.1,1,O75325 P03923 P11362 P21802 P22607 Q01973 Q8IVU1 Q8WVN6 Q9BX67 Q9UMR7
huMAP3_00033.1,1,Q14191 Q16828 Q86V25 Q96FI4
huMAP3_00034.1,1,Q9UPQ9 Q9Y6I3
huMAP3_00035.1,1,Q05516 Q8WYQ4 Q9BSU1 Q9H6U6
huMAP3_00036.1,1,P21757 Q70UQ0
huMAP3_00037.1,1,P12111 P53420 Q6ISS4 Q6UXH8 Q96A83 Q9UMD9
huMAP3_00038.1,1,Q8N4E4 Q8TDG2
huMAP3_00039.1,1,A0AV96 Q15434 Q8TB72
huMAP3_00040.1,1,Q14990 Q8TB22
huMAP3_00041.1,1,P14616 Q30KQ4
huMAP3_00042.1,1,Q2VY69 Q9UK13
huMAP3_00043.1,1,Q8NBB4 Q8TBC5 Q9UL58
huMAP3_00044.1,1,Q6ZMR5 Q9BUB7 Q9NUB1
huMAP3_00045.1,1,O43427 Q12767 Q8TDN4 Q9BTV7
huMAP3_00046.1,1,Q12800 Q9NZI6
huMAP3_00047.1,1,P54259 P61964 Q01658 Q14686 Q9P0U4 Q9P2R6
huMAP3_00048.1,1,Q5VXD3 Q96JM7
huMAP3_00049.1,1,O60299 Q9Y463
huMAP3_00050.1,1,O95391 P16383 Q8N6N3 Q8WUD4 Q96BP3 Q9BW85 Q9H5Z1 Q9ULR0
huMAP3_00051.1,1,O14531 Q14117 Q14194 Q14195 Q16555 Q9BPU6
huMAP3_00052.1,1,O15063 Q9ULL1
huMAP3_00053.1,1,O14662 O15400 O15498 O75379 P46459 P53801 P63027 Q5SQN1 Q99747 Q9H115 Q9NRW7
huMAP3_00054.1,1,P43626 P43627 Q8IWE2
huMAP3_00055.1,1,O94868 Q8WV41
huMAP3_00056.1,1,Q6ZTN6 Q96LA9
huMAP3_00057.1,1,Q69YW2 Q8IWA5
huMAP3_00058.1,1,P62760 Q8TBP5 Q9NUY8 Q9Y646
huMAP3_00059.1,1,O15085 O43934 P08134 P52306 P61586 Q9NQW7
huMAP3_00060.1,1,O75947 P00846 P03928 P18859 P24539 P30049 Q5T4F4 Q8NBI5 Q9UII2
huMAP3_00061.1,1,Q01850 Q504U0
huMAP3_00062.1,1,Q92887 Q9Y698
huMAP3_00063.1,1,O95789 O95817 P02489 Q9H4H8
huMAP3_00064.1,1,O75563 Q5VWT5
huMAP3_00065.1,1,O94855 Q15436 Q15437 Q9Y6Y8
huMAP3_00066.1,1,O00590 Q5SRH9
huMAP3_00067.1,1,O95239 P23743 Q14451 Q6ZS11 Q86UV5 Q96AZ1 Q99504 Q9UGR2 Q9UJJ7 Q9Y3S1
huMAP3_00068.1,1,A3KMH1 O60938 Q13867 Q8N1F8 Q9BQG2
huMAP3_00069.1,1,Q96AA3 Q9H2H9
huMAP3_00070.1,1,O43157 Q96AZ6
huMAP3_00071.1,1,P83111 Q7Z3D6 Q9BS92 Q9UFN0
huMAP3_00072.1,1,P22415 Q15853
huMAP3_00073.1,1,O60383 Q5VV52
huMAP3_00074.1,1,P00734 P58166
huMAP3_00075.1,1,Q8WTP9 Q96JM2 Q96KQ7 Q9H2P0 Q9H582 Q9H9B1 Q9UEU5
huMAP3_00076.1,1,O95789 Q8IX12
huMAP3_00077.1,1,P42226 Q15788
huMAP3_00078.1,1,P78537 Q5T0J7 Q969J3 Q96FH0
huMAP3_00079.1,1,P08651 Q13490
huMAP3_00080.1,1,P41220 Q12923
huMAP3_00081.1,1,Q6PP77 Q7Z6L0 Q9H0X4
huMAP3_00082.1,1,A6NMX2 P06730 Q13541
huMAP3_00083.1,1,Q86XP3 Q96BM0 Q9Y5N6
huMAP3_00084.1,1,Q07011 Q8TBR7 Q9P0S2
huMAP3_00085.1,1,Q6PIL6 Q9NS61 Q9NZI2 Q9Y2W7
huMAP3_00086.1,1,Q96L12 Q9BXT5
huMAP3_00087.1,1,P10114 P61225 Q9UJA5
huMAP3_00088.1,1,P40617 P49419 P49703
huMAP3_00089.1,1,P15153 Q14185 Q8N1I0 Q92556 Q92608 Q96BJ8 Q96JJ3
huMAP3_00090.1,1,P49450 Q8NCD3
huMAP3_00091.1,1,Q5HYJ3 Q96HJ3
huMAP3_00092.1,1,P10144 P23946
huMAP3_00093.1,1,Q8N5F7 Q9NP64
huMAP3_00094.1,1,O60231 Q92917
huMAP3_00095.1,1,Q8IYU8 Q9BPX6
huMAP3_00096.1,1,P08263 P09210 Q16772 Q7RTV2 Q9NXP7
huMAP3_00097.1,1,P11678 Q8IVW1 Q96NL1
huMAP3_00098.1,1,O00442 Q969J5
huMAP3_00099.1,1,Q8ND30 Q9H972
huMAP3_00100.1,1,P62736 Q8TCA0
huMAP3_00101.1,1,O75363 Q86UU5
huMAP3_00102.1,1,O15460 O95639 P07237 P13674 P33240 Q05048 Q10570 Q12996 Q6UN15 Q9C0J8 Q9P2I0 Q9UKF6
huMAP3_00103.1,1,P11171 Q9Y2J2
huMAP3_00104.1,1,A8MVW5 Q9UHF4 Q9UHQ9
huMAP3_00105.1,1,P08910 Q9UJQ1
huMAP3_00106.1,1,Q8N5S9 Q92539 Q9BQK8
huMAP3_00107.1,1,Q07973 Q5VX71 Q8N4T8 Q92506 Q96EN8
huMAP3_00108.1,1,P40199 Q8TEB9
huMAP3_00109.1,1,Q86WK7 Q8N3Z3
huMAP3_00110.1,1,B9A064 P15814
huMAP3_00111.1,1,O15392 Q53HL2
huMAP3_00112.1,1,O00562 P22059 Q8IZD6 Q9P0L0
huMAP3_00113.1,1,O60658 O95263
huMAP3_00114.1,1,P03928 Q9NYV8
huMAP3_00115.1,1,P54198 Q6ZU65 Q8IWY9 Q8TEX9 Q96HA7 Q9NPG3 Q9NVP2 Q9UKI8 Q9Y294 Q9Y2V0 Q9Y6J0
huMAP3_00116.1,1,O94826 Q3SXM0
huMAP3_00117.1,1,P35659 Q13442 Q9Y224
huMAP3_00118.1,1,Q13885 Q8WXG6
huMAP3_00119.1,1,P01730 Q9P1T7
huMAP3_00120.1,1,P23352 Q63HK5
huMAP3_00121.1,1,Q8IZL9 Q9Y6A4
huMAP3_00122.1,1,O75712 O95377
huMAP3_00123.1,1,P15735 P46019 P46020 Q16816 Q6P995 Q93100
huMAP3_00124.1,1,O00479 O75531 Q96T23
huMAP3_00125.1,1,P01189 Q16254
huMAP3_00126.1,1,Q6ZSC3 Q8TDB6
huMAP3_00127.1,1,O15480 P43355 P78413 Q8N7X4 Q9Y620
huMAP3_00128.1,1,O75899 P54753 Q3KPI0 Q9NZ53
huMAP3_00129.1,1,P78348 Q16515
huMAP3_00130.1,1,Q3LXA3 Q96BM9 Q9NVJ2 Q9NZD8
huMAP3_00131.1,1,P13473 Q8TD22 Q9H4I8
huMAP3_00132.1,1,P24394 P35225 P78552
huMAP3_00133.1,1,A6NIL8 O15111 Q13451 Q15831 Q16543 Q96Q40 Q9BXA6 Q9UQ88
huMAP3_00134.1,1,P42356 Q9BYI3
huMAP3_00135.1,1,P33908 Q9NX62
huMAP3_00136.1,1,Q14865 Q96A08
huMAP3_00137.1,1,Q5JSP0 Q96M96
huMAP3_00138.1,1,Q96PX6 Q99728
huMAP3_00139.1,1,Q5HYK7 Q96HL8
huMAP3_00140.1,1,O15229 Q9NRN5
huMAP3_00141.1,1,P58215 Q02086
huMAP3_00142.1,1,P52952 Q86VH5 Q8IZQ5 Q9BYZ6 Q9UKT8 Q9Y4X5
huMAP3_00143.1,1,P10073 Q63HK3 Q9H4T2 Q9NX65
huMAP3_00144.1,1,Q5VSY0 Q7LC44 Q7Z6G8 Q8WYP3
huMAP3_00145.1,1,P43307 Q15345 Q8WWA0
