		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2
P51398-P82673	Q9Y291-P82673	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.423	87.5070974262424	P82673	P51398	Q9Y291
Q92599-Q9UH03	Q92599-Q9NVA2	yes	23	yes	148	['huMAP3_02362.1']	0.65	76.6211547052492	Q92599	Q9UH03	Q9NVA2
Q6VN20-Q9H871	Q7L5Y9-Q9H871	no	0	yes	3	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.399	83.91956550273565	Q9H871	Q6VN20	Q7L5Y9
Q12824-Q92922	Q12824-Q8TAQ2	yes	37	yes	614	['huMAP3_03221.1', 'huMAP3_11470.1']	0.501	72.10725141825935	Q12824	Q92922	Q8TAQ2
Q06265-Q9NQT4	Q15024-Q06265	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.522	82.4966006971018	Q06265	Q9NQT4	Q15024
P25786-P28070	P25786-P28066	no	0	yes	2	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.384	86.76616784956435	P25786	P28070	P28066
P25787-P28074	P25787-P28066	no	0	yes	14	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.445	88.54527233690813	P25787	P28074	P28066
Q9BSJ2-Q08AG7	Q9BSJ2-Q6NZ67	yes	20	yes	17	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1']	0.252	73.6750529424038	Q9BSJ2	Q6NZ67	Q08AG7
Q15363-Q7Z7H5	Q15363-Q13445	yes	12	yes	75	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.42	78.24318793737184	Q15363	Q13445	Q7Z7H5
Q16181-Q92599	Q8WYJ6-Q16181	yes	12	yes	35	['huMAP3_02362.1']	0.624	75.640824199293	Q16181	Q8WYJ6	Q92599
Q96RT8-Q9UGJ1	Q9UGJ1-P23258	no	0	no	0	['huMAP3_14882.1', 'huMAP3_09443.1']	0.46	75.22171600414518	Q9UGJ1	P23258	Q96RT8
Q13043-P50749	Q13188-P50749	yes	27	yes	401	['huMAP3_04592.1', 'huMAP3_12772.1', 'huMAP3_11472.1']	0.322	71.19797418740058	P50749	Q13043	Q13188
P25787-P28074	P25787-P28070	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.338	86.6568920888858	P25787	P28074	P28070
Q92526-P50990	P40227-P50990	yes	41	yes	530	['huMAP3_14584.1', 'huMAP3_06559.1', 'huMAP3_09191.1', 'huMAP3_07938.1', 'huMAP3_10656.1']	0.678	78.98498806998835	P50990	Q92526	P40227
P28070-P28062	P28070-P28074	yes	13	yes	238	['huMAP3_00356.1', 'huMAP3_09656.1']	0.351	76.74847483591827	P28070	P28062	P28074
O14818-P28074	P25787-O14818	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.411	90.1973403977985	O14818	P28074	P25787
P20618-Q99436	Q99436-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.48	86.52144532824687	Q99436	P60900	P20618
P60900-P25788	P49720-P60900	no	0	no	0	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.439	92.8983167635151	P60900	P25788	P49720
P15408-P17275	P15408-P05412	yes	21	yes	142	['huMAP3_10133.1', 'huMAP3_15260.1', 'huMAP3_06833.1', 'huMAP3_09690.1']	0.546	90.09486721689768	P15408	P17275	P05412
