Entry	eggNOG
A0A087X1C5	
A0A0B4J2F0	ENOG502TEA1;
A0A0B4J2F2	KOG0586;
A0A0C5B5G6	
A0A0K2S4Q6	
A0A0U1RRE5	
A0A1B0GTW7	
A0AV02	KOG2083;
A0AV96	KOG0117;
A0AVF1	KOG3785;
A0AVI4	KOG3899;
A0AVK6	KOG2578;
A0AVT1	KOG2012;
A0FGR8	KOG1012;
A0FGR9	KOG1012;
A0JLT2	KOG4043;
A0JNW5	KOG2955;
A0JP26	KOG0676;
A0M8Q6	
A0MZ66	ENOG502QVVT;
A0PJK1	KOG2349;
A0PJY2	KOG1721;
A0PK00	KOG4758;
A0PK11	ENOG502QUCR;
A1A4S6	KOG1451;
A1A4Y4	ENOG502QS9R;
A1A519	ENOG502TH7F;
A1A5B4	KOG2514;
A1A5C7	KOG0255;
A1E959	ENOG502RM1P;
A1KXE4	ENOG502QQDS;
A1KZ92	KOG2408;
A1L0T0	KOG1185;
A1L167	KOG0897;
A1L190	ENOG502S4TF;
A1L390	KOG3518;
A1L3X0	KOG3071;
A1L4H1	ENOG502SECN;
A1L4K1	KOG2177;
A1X283	KOG0905;
A1XBS5	ENOG502QQ0N;
A1Z1Q3	KOG2633;
A2A288	KOG3777;
A2A2Y4	KOG3530;
A2IDD5	ENOG502SNR6;
A2PYH4	KOG0952;
A2RRP1	KOG1797;
A2RTX5	KOG1637;
A2RU14	ENOG502S2I1;
A2RU30	ENOG502QWSR;
A2RU49	ENOG502QT7T;
A2RUB1	ENOG502QPMP;
A2RUB6	ENOG502R1PQ;
A2RUC4	KOG2132;
A2RUH7	ENOG502QVIQ;
A2VDJ0	KOG3620;
A2VEC9	
A3KMH1	KOG1808;
A4D0S4	KOG0994;
A4D126	ENOG502QUUE;
A4D161	ENOG502QR3M;
A4D1B5	ENOG502QWQK;
A4D1E9	KOG1489;
A4D1P6	KOG1333;
A4D1T9	KOG3627;
A4D256	
A4D2B0	KOG4736;
A4GXA9	ENOG502RQYN;
A4UGR9	ENOG502SF50;
A5A3E0	KOG0676;
A5D8T8	KOG3017;KOG4297;
A5D8V6	KOG3270;
A5D8V7	ENOG502QR7A;
A5D8W1	ENOG502QV2V;
A5LHX3	KOG0175;
A5PKW4	KOG0932;
A5PLL7	KOG3011;
A5X5Y0	KOG3645;
A5YKK6	KOG1831;
A5YM72	ENOG502QRI6;
A6BM72	KOG1218;
A6H8Y1	KOG2009;
A6H8Z2	ENOG502R7X0;
A6NC98	KOG4643;
A6NCS4	KOG0842;
A6ND01	ENOG502RYYP;
A6ND36	ENOG502QS42;
A6NDB9	ENOG502S32R;
A6NDE4	
A6NDG6	KOG2882;
A6NDV4	ENOG502QQ7Q;
A6NED2	KOG1426;
A6NEM1	KOG4725;
A6NFA1	ENOG502QPR1;
A6NFQ2	ENOG502QQUS;
A6NFX1	KOG4830;
A6NFY7	KOG4620;
A6NGG8	ENOG502QUWN;
A6NGQ2	ENOG502RU0M;
A6NGU5	
A6NHL2	KOG1376;
A6NHR9	ENOG502QREW;
A6NHX0	ENOG502QV83;
A6NI15	KOG4029;
A6NI61	ENOG502REE6;
A6NI73	ENOG502RU0A;
A6NIH7	KOG4037;
A6NIX2	KOG1701;
A6NJ46	KOG0847;
A6NJ78	KOG2782;
A6NK06	ENOG502QVEB;
A6NK58	KOG0325;
A6NK89	KOG1574;
A6NKB5	KOG3604;
A6NMZ7	KOG3544;
A6NNB3	ENOG502RXZM;
A6NNM8	
A6NNN8	KOG1305;
A6NNY8	KOG1867;
A6NNZ2	KOG1375;
A6PVC2	KOG2157;
A7E2V4	KOG3615;
A7E2Y1	KOG0161;
A7KAX9	KOG1449;KOG3564;
A7MCY6	ENOG502QVP4;
A7MD48	ENOG502QSPB;
A7XYQ1	ENOG502QZ8A;
A8CG34	ENOG502R5GW;
A8K0Z3	KOG1366;
A8K2U0	KOG1366;
A8K4G0	ENOG502S7MA;
A8K7I4	ENOG502QRRD;
A8K830	ENOG502S1YS;
A8K8P3	KOG4775;
A8K8V0	KOG1721;
A8MPY1	KOG3643;
A8MQ03	ENOG502SD8F;
A8MQ27	KOG4172;KOG4625;
A8MT69	ENOG502S98G;
A8MTA8	ENOG502RTSD;
A8MTJ3	KOG0082;
A8MTJ6	KOG2294;
A8MTQ0	KOG0843;
A8MTZ0	
A8MU46	KOG1808;KOG4678;
A8MUP2	KOG2352;
A8MV65	ENOG502R6G3;
A8MVW5	ENOG502QRJQ;
A8MW92	KOG1844;
A8MW95	
A8MW99	ENOG502S31K;
A8MXD5	KOG2824;
A8MXV4	KOG3904;
A8MYU2	KOG1420;
A8MZ59	KOG2251;
A8TX70	KOG3544;
A9QM74	KOG0166;
A9UHW6	
A9YTQ3	KOG3560;
B0I1T2	KOG0160;KOG0164;
B0L3A2	
B0YJ81	KOG3187;
B1AK53	KOG0504;
B2RTY4	KOG1453;KOG4229;
B2RUY7	ENOG502RAAU;
B2RUZ4	ENOG502SASD;
B2RXF5	KOG1721;
B2RXH2	KOG0958;
B3KU38	KOG4847;
B6A8C7	ENOG502RYEX;
B7U540	KOG3827;
B7ZAQ6	KOG2417;
C4AMC7	
C9JE40	KOG4592;
C9JLW8	ENOG502S25D;
C9JR72	KOG1072;
C9JRZ8	KOG1577;
D3W0D1	KOG4297;
D6RGH6	ENOG502R4B5;
E0CX11	ENOG502S7PN;
F5H094	
G2XKQ0	
H0YL14	KOG2655;
H3BV60	ENOG502R0RG;
K7EJ46	ENOG502S40K;
K9M1U5	
L0R8F8	
M0R2J8	ENOG502QW8Q;
O00115	KOG3825;
O00116	KOG1233;
O00124	KOG1363;
O00139	KOG0246;
O00141	KOG0598;
O00142	KOG4235;
O00144	KOG3577;
O00148	KOG0329;
O00151	KOG1703;
O00154	KOG2763;
O00155	KOG3656;
O00159	KOG0164;
O00160	KOG0162;
O00161	KOG3065;
O00165	ENOG502S0AE;
O00167	KOG3107;
O00168	ENOG502S5XM;
O00170	KOG0545;
O00175	ENOG502S6ZP;
O00178	KOG0463;
O00180	KOG1418;
O00182	KOG3587;
O00186	KOG1300;
O00187	KOG3627;
O00189	KOG0937;
O00192	KOG1048;
O00194	KOG0081;
