		interface_overlap	num_overlapping_intf_res	chain_overlap	num_overlapping_chn_res	matching_humap3_comps	min_pDockQ	min_IF_pLDDT	common_protein	protein_1	protein_2	cmmn_p_homodimer	covariation_score	pair1_pdbs	pair2_pdbs	mutual_pair_structures	pair_struct_annot
P51398-P82673	Q9Y291-P82673	no	0	no	0	['huMAP3_11966.1', 'huMAP3_08556.1', 'huMAP3_05954.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_09602.1', 'huMAP3_10701.1', 'huMAP3_10538.1']	0.423	87.5070974262424	P82673	P51398	Q9Y291	no	0.954	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VMI', '6VLZ', '8CSQ', '7A5I', '7PNX'}	{'6ZM6', '7A5G', '3J9M', '7A5F', '7PNX', '6ZS9', '7P2E', '6ZSG', '6NU2', '7OG4', '8OIS', '6ZSC', '7PO2', '7PO1', '7QI6', '7PO0', '8ANY', '6ZSD', '7L08', '8CSU', '8OIR', '7PNZ', '7PO3', '6ZSB', '8CST', '6RW5', '8CSS', '6ZSA', '7QI5', '6NU3', '7PNY', '6ZSE', '7A5K', '6RW4', '8CSR', '6ZM5', '8CSP', '7QI4', '6VLZ', '8CSQ', '7A5I', '6VMI'}	yes structural evidence
Q92599-Q9UH03	Q92599-Q9NVA2	yes	23	yes	148	['huMAP3_02362.1']	0.65	76.6211547052492	Q92599	Q9UH03	Q9NVA2	yes	0.188	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
Q6VN20-Q9H871	Q7L5Y9-Q9H871	no	0	yes	3	['huMAP3_12700.1', 'huMAP3_10711.1', 'huMAP3_08787.1', 'huMAP3_09818.1', 'huMAP3_05775.1']	0.399	83.91956550273565	Q9H871	Q6VN20	Q7L5Y9	no	0.154	{'No overlap'}	{'8PJN'}	{'No mutual structures'}	no structural evidence
Q12824-Q92922	Q12824-Q8TAQ2	yes	37	yes	614	['huMAP3_03221.1', 'huMAP3_11470.1']	0.501	72.10725141825935	Q12824	Q92922	Q8TAQ2	no	0.43	{'5GJK', '6KZ7'}	{'6KAG', '6LTH', '7VDV', '7Y8R', '6LTJ'}	{'No mutual structures'}	no structural evidence
Q06265-Q9NQT4	Q15024-Q06265	no	0	no	0	['huMAP3_05382.1', 'huMAP3_14264.1']	0.522	82.4966006971018	Q06265	Q9NQT4	Q15024	no	0.95	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6D6Q', '6D6R', '6H25'}	{'2NN6', '6H25', '6D6Q', '6D6R'}	yes structural evidence
P25786-P28070	P25786-P28066	no	0	yes	2	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.384	86.76616784956435	P25786	P28070	P28066	yes	0.998	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '6E5B', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	yes structural evidence
P25787-P28074	P25787-P28066	no	0	yes	14	['huMAP3_00356.1', 'huMAP3_09656.1', 'huMAP3_13725.1']	0.445	88.54527233690813	P25787	P28074	P28066	yes	0.672	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '7V5G', '5T0C', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	{'6REY', '7B12', '5LF3', '7NAN', '5L4G', '7NAP', '8QYJ', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '8QYL', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '7AWE', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '8QYM', '5VFT', '5LF4', '6E5B', '5LE5', '6MSB', '6WJN', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '6AVO', '7W3K'}	{'6REY', '5LF3', '7NAN', '5L4G', '7NAP', '5GJQ', '5T0I', '7QXN', '8CXB', '7QXP', '5T0G', '8CVR', '8BZL', '6MSH', '6RGQ', '7NAO', '5T0C', '7V5G', '8QYS', '5T0J', '7QXU', '6MSJ', '5GJR', '5A0Q', '5LN3', '7QXX', '7W3F', '7W3A', '7LXV', '6MSE', '5M32', '7W3C', '8CVS', '7QYB', '5LF6', '5LEZ', '8UD9', '7QYA', '5VFR', '5VFP', '5VFQ', '7W3J', '5VFS', '5T0H', '5VFO', '6MSK', '7NAQ', '5LF0', '6R70', '6XMJ', '7W3M', '7W3B', '8CVT', '7PG9', '5VFU', '6KWY', '5LEY', '8QZ9', '6MSG', '7QXW', '6WJD', '7W3H', '7NHT', '7W38', '7W3G', '5LF7', '7QY7', '4R3O', '4R67', '8QYN', '5VFT', '5LF4', '5LE5', '6WJN', '6MSB', '7W3I', '7V5M', '6MSD', '5LF1', '7W37', '8QYO', '5LEX', '7W39', '7W3K'}	yes structural evidence
P62913-P35268	P18124-P35268	no	0	yes	2	['huMAP3_05933.1', 'huMAP3_11966.1', 'huMAP3_09015.1', 'huMAP3_07654.1', 'huMAP3_10538.1']	0.268	80.27174377125124	P35268	P62913	P18124	no	1.0	{'8G60', '8IE3', '6W6L', '6OLG', '8OHD', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '6LQM', '8IDT', '8IPY', '8FL6', '6Y2L', '8QOI', '6OLE', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8G6J', '8IR1', '6Z6L', '8IFE', '6OLF', '7XNX', '8OJ0', '8IFD', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '6OLG', '8OHD', '8FKZ', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '6LQM', '8IDT', '8IPY', '8FL6', '6Y2L', '6OLE', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8G6J', '8IR1', '6Z6L', '8IFE', '6OLF', '7XNX', '8OJ0', '8IFD', '7XNY', '6LU8'}	{'8G60', '8IE3', '6W6L', '6OLG', '8OHD', '8G5Y', '8G5Z', '8FL3', '5AJ0', '8OJ5', '8JDM', '5LKS', '6LSR', '4V6X', '6LSS', '6QZP', '6Z6N', '5T2C', '6LQM', '8IDT', '8IPY', '8FL6', '6Y2L', '6OLE', '8IR3', '8JDL', '8FL9', '7F5S', '8IPD', '8OJ8', '6Y0G', '8JDJ', '8A3D', '6OM7', '4UG0', '8FLA', '6OLI', '6ZMI', '8Y0X', '8INK', '8QFD', '8FLE', '6ZM7', '6OM0', '6IP6', '6IP5', '6IP8', '8FL4', '8IDY', '8FLF', '8FLD', '8FLC', '8FLB', '6ZMO', '8JDK', '8INF', '6Y57', '7QVP', '8IPX', '7BHP', '6Z6M', '8INE', '6OLZ', '8FL2', '8Y0W', '6Y6X', '8FL7', '6ZME', '8GLP', '8G61', '8G6J', '8IR1', '6Z6L', '8IFE', '6OLF', '7XNX', '8OJ0', '8IFD', '7XNY', '6LU8'}	yes structural evidence
Q9BSJ2-Q08AG7	Q9BSJ2-Q6NZ67	yes	20	yes	17	['huMAP3_14882.1', 'huMAP3_00522.1', 'huMAP3_09443.1']	0.252	73.6750529424038	Q9BSJ2	Q6NZ67	Q08AG7	no	0.114	{'7QJ5', '7QJ0', '7QJ7', '7QJB', '8VRJ', '7QJ6', '7QJ1', '7QJD', '7QJA', '7QJ3', '8VRD', '7QJ9', '7QJC', '7QJ8', '8VRK', '7AS4', '7QJ2', '7QJ4'}	{'No overlap'}	{'No mutual structures'}	no structural evidence
Q15363-Q7Z7H5	Q15363-Q13445	yes	12	yes	75	['huMAP3_10362.1', 'huMAP3_08461.1', 'huMAP3_07118.1', 'huMAP3_11421.1', 'huMAP3_09886.1', 'huMAP3_12213.1']	0.42	78.24318793737184	Q15363	Q13445	Q7Z7H5	no	0.578	{'No overlap'}	{'No overlap'}	{'No overlap'}	no structural evidence
